0,Frequency of visit ,No of Arrival by Frequency of purpose,Year,,,
    United Arab Emirates,First visit,"152,190","2,017",,,
    United Arab Emirates,Re-visit,"199,475","2,017",,,
    Others in Middle East,Total,"121,316","2,017",,,
    Others in Middle East,First visit,"236,202","2,017",,,
    Others in Middle East,Re-visit,"357,518","2,017",,,
    South Africa,Total,"41,329","2,017",,,
    South Africa,First visit,"49,853","2,017",,,
    South Africa,Re-visit,"91,182","2,017",,,
    Others in Africa,Total,"37,693","2,017",,,
    Others in Africa,First visit,"63,419","2,017",,,
    Others in Africa,Re-visit,"101,112","2,017",,,
        Brunai,Total,"18,460","2,018",,,
        Brunai,First visit,"3,664","2,018",,,
        Brunai,Re-visit,"14,796","2,018",,,
        Cambodia,Total,"950,980","2,018",,,
        Cambodia,First visit,"126,145","2,018",,,
        Cambodia,Re-visit,"824,835","2,018",,,
        Indonesia,Total,"644,479","2,018",,,
        Indonesia,First visit,"245,195","2,018",,,
        Indonesia,Re-visit,"399,284","2,018",,,
        Laos,Total,"1,682,304","2,018",,,
        Laos,First visit,"98,640","2,018",,,
        Laos,Re-visit,"1,583,664","2,018",,,
        Malaysia,Total,"4,042,998","2,018",,,
        Malaysia,First visit,"1,190,145","2,018",,,
        Malaysia,Re-visit,"2,852,853","2,018",,,
        Myanmar,Total,"379,880","2,018",,,
        Myanmar,First visit,"63,289","2,018",,,
        Myanmar,Re-visit,"316,591","2,018",,,
        Philippines,Total,"407,832","2,018",,,
        Philippines,First visit,"132,126","2,018",,,
        Philippines,Re-visit,"275,706","2,018",,,
        Singapore,Total,"1,168,112","2,018",,,
        Singapore,First visit,"109,772","2,018",,,
        Singapore,Re-visit,"1,058,340","2,018",,,
        Vietnam,Total,"1,053,723","2,018",,,
        Vietnam,First visit,"395,049","2,018",,,
        Vietnam,Re-visit,"658,674","2,018",,,
    China,Total,"10,625,167","2,018",,,
    China,First visit,"5,762,730","2,018",,,
    China,Re-visit,"4,862,437","2,018",,,
    Hong Kong,Total,"1,047,559","2,018",,,
    Hong Kong,First visit,"155,252","2,018",,,
    Hong Kong,Re-visit,"892,307","2,018",,,
    Japan,Total,"1,642,712","2,018",,,
    Japan,First visit,"347,328","2,018",,,
    Japan,Re-visit,"1,295,384","2,018",,,
    Korea,Total,"1,785,147","2,018",,,
    Korea,First visit,"776,370","2,018",,,
    Korea,Re-visit,"1,008,777","2,018",,,
    Taiwan,Total,"674,172","2,018",,,
    Taiwan,First visit,"189,132","2,018",,,
    Taiwan,Re-visit,"485,040","2,018",,,
    Others in East,Total,"101,921","2,018",,,
    Others in East,First visit,"20,210","2,018",,,
    Others in East,Re-visit,"81,711","2,018",,,
    Austria,Total,"114,768","2,018",,,
    Austria,First visit,"31,123","2,018",,,
    Austria,Re-visit,"83,645","2,018",,,
    Belgium,Total,"116,346","2,018",,,
    Belgium,First visit,"36,198","2,018",,,
    Belgium,Re-visit,"80,148","2,018",,,
    Denmark,Total,"170,044","2,018",,,
    Denmark,First visit,"33,813","2,018",,,
    Denmark,Re-visit,"136,231","2,018",,,
    Finland,Total,"135,384","2,018",,,
    Finland,First visit,"21,649","2,018",,,
    Finland,Re-visit,"113,735","2,018",,,
    France,Total,"724,350","2,018",,,
    France,First visit,"237,128","2,018",,,
    France,Re-visit,"487,222","2,018",,,
    Germany,Total,"872,185","2,018",,,
    Germany,First visit,"252,250","2,018",,,
    Germany,Re-visit,"619,935","2,018",,,
    Ireland,Total,"58,677","2,018",,,
    Ireland,First visit,"18,786","2,018",,,
    Ireland,Re-visit,"39,891","2,018",,,
    Italy,Total,"263,515","2,018",,,
    Italy,First visit,"97,303","2,018",,,
    Italy,Re-visit,"166,212","2,018",,,
    Netherlands,Total,"226,618","2,018",,,
    Netherlands,First visit,"70,995","2,018",,,
    Netherlands,Re-visit,"155,623","2,018",,,
    Norway,Total,"133,020","2,018",,,
    Norway,First visit,"23,459","2,018",,,
    Norway,Re-visit,"109,561","2,018",,,
    Russian,Total,"1,466,457","2,018",,,
    Russian,First visit,"427,572","2,018",,,
    Russian,Re-visit,"1,038,885","2,018",,,
    Spain,Total,"176,597","2,018",,,
    Spain,First visit,"88,569","2,018",,,
    Spain,Re-visit,"88,028","2,018",,,
    Sweden,Total,"304,206","2,018",,,
    Sweden,First visit,"41,593","2,018",,,
    Sweden,Re-visit,"262,613","2,018",,,
    Switzerland,Total,"225,985","2,018",,,
    Switzerland,First visit,"45,936","2,018",,,
    Switzerland,Re-visit,"180,049","2,018",,,
    United Kingdom,Total,"954,404","2,018",,,
    United Kingdom,First visit,"255,055","2,018",,,
    United Kingdom,Re-visit,"699,349","2,018",,,
    East Europe,Total,"487,669","2,018",,,
    East Europe,First visit,"191,657","2,018",,,
    East Europe,Re-visit,"296,012","2,018",,,
    Others in Europe,Total,"173,470","2,018",,,
    Others in Europe,First visit,"68,683","2,018",,,
    Others in Europe,Re-visit,"104,787","2,018",,,
    Argentina,Total,"43,485","2,018",,,
    Argentina,First visit,"17,678","2,018",,,
    Argentina,Re-visit,"25,807","2,018",,,
    Brazil,Total,"57,105","2,018",,,
    Brazil,First visit,"23,700","2,018",,,
    Brazil,Re-visit,"33,405","2,018",,,
    Canada,Total,"252,763","2,018",,,
    Canada,First visit,"84,347","2,018",,,
    Canada,Re-visit,"168,416","2,018",,,
USA,Total,"1,096,177","2,018",,,
USA,First visit,"370,833","2,018",,,
USA,Re-visit,"725,344","2,018",,,
    Others in America,Total,"84,478","2,018",,,
    Others in America,First visit,"38,786","2,018",,,
    Others in America,Re-visit,"45,692","2,018",,,
    Bangladesh,Total,"125,809","2,018",,,
    Bangladesh,First visit,"29,234","2,018",,,
    Bangladesh,Re-visit,"96,575","2,018",,,
    India,Total,"1,562,878","2,018",,,
    India,First visit,"619,057","2,018",,,
    India,Re-visit,"943,821","2,018",,,
    Nepal,Total,"55,482","2,018",,,
